ORDEM;VENDA_ID;VENDA_DATA;VENDA_ANO;VENDA_MES;VENDA_STATUS;VENDA_TAMANHO;VENDA_PEDIDO;VENDA_ITEM;VENDA_QTDE;VENDA_TOTAL;PRECO_UNITARIO;PRECO_SUGERIDO;PRODUTO_CODIGO;PRODUTO_LINHA;CLIENTE_CODIGO;CLIENTE_NOME;CLIENTE_FONE;CLIENTE_ENDERECO;CLIENTE_COMPLEMENTO;CLIENTE_CIDADE;CLIENTE_ESTADO;CLIENTE_PAIS;CLIENTE_TERRITORIO;CONTATO_NOME;CONTATO_SOBRENOME
11;10223;2/20/2004;2004;2;Enviado;Médio;1;1;37;3965.66;100;95;S10_1678;Motocicletas;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
12;10237;04/05/2004;2004;4;Enviado;Pequeno;2;7;23;2333.12;100;95;S10_1678;Motocicletas;C10022;Vitachrome Inc.;F.2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;Estados Unidos;América do Norte;Michael;Frick
13;10251;5/18/2004;2004;5;Enviado;Médio;2;2;28;3188.64;100;95;S10_1678;Motocicletas;C94019;Tekni Collectables Inc.;F.2015559350;7476 Moss Rd.;;Newark;NJ;Estados Unidos;América do Norte;William;Brown
14;10263;6/28/2004;2004;6;Enviado;Médio;2;2;34;3676.76;100;95;S10_1678;Motocicletas;C97562;Gift Depot Inc.;F.2035552570;25593 South Bay Ln.;;Bridgewater;CT;Estados Unidos;América do Norte;Julie;King
15;10275;7/23/2004;2004;7;Enviado;Médio;3;1;45;4177.35;92.83;95;S10_1678;Motocicletas;C44000;La Rochelle Gifts;F.40.67.8555;67, rue des Cinquante Otages;;Nantes;;França;Europa, Oriente Médio e África;Janine;Labrune
16;10285;8/27/2004;2004;8;Enviado;Médio;3;6;36;4099.68;100;95;S10_1678;Motocicletas;C51247;Marta's Replicas Co.;F.6175558555;39323 Spinnaker Dr.;;Cambridge;MA;Estados Unidos;América do Norte;Marta;Hernandez
17;10299;9/30/2004;2004;9;Enviado;Pequeno;3;9;23;2597.39;100;95;S10_1678;Motocicletas;C21240;Toys of Finland, Co.;F.90-224 8555;Keskuskatu 45;;Helsinki;;Finlandia;Europa, Oriente Médio e África;Matti;Karttunen
18;10309;10/15/2004;2004;10;Enviado;Médio;4;5;41;4394.38;100;95;S10_1678;Motocicletas;C4110;Baane Mini Imports;F.07-98 9555;Erling Skakkes gate 78;;Stavern;;Noruega;Europa, Oriente Médio e África;Jonas;Bergulfsen
19;10318;11/02/2004;2004;11;Enviado;Médio;4;1;46;4358.04;94.74;95;S10_1678;Motocicletas;C70267;Diecast Classics Inc.;F.2155551555;7586 Pompton St.;;Allentown;PA;Estados Unidos;América do Norte;Kyung;Yu
20;10329;11/15/2004;2004;11;Enviado;Médio;4;1;42;4396.14;100;95;S10_1678;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
21;10341;11/24/2004;2004;11;Enviado;Grande;4;9;41;7737.93;100;95;S10_1678;Motocicletas;C5020;Salzburg Collectables;F.6562-9555;Geislweg 14;;Salzburg;;Áustria;Europa, Oriente Médio e África;Georg;Pipps
22;10361;12/17/2004;2004;12;Enviado;Pequeno;4;13;20;1451;72.55;95;S10_1678;Motocicletas;C2067;Souveniers And Things Co.;F.+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;Austrália;Ásia-Pacífico;Adrian;Huxley
23;10375;02/03/2005;2005;2;Enviado;Pequeno;1;12;21;733.11;34.91;95;S10_1678;Motocicletas;C44000;La Rochelle Gifts;F.40.67.8555;67, rue des Cinquante Otages;;Nantes;;França;Europa, Oriente Médio e África;Janine;Labrune
24;10388;03/03/2005;2005;3;Enviado;Médio;1;4;42;3207.12;76.36;95;S10_1678;Motocicletas;C50553;FunGiftIdeas.com;F.5085552555;1785 First Street;;New Bedford;MA;Estados Unidos;América do Norte;Violeta;Benitez
25;10403;04/08/2005;2005;4;Enviado;Pequeno;2;7;24;2434.56;100;95;S10_1678;Motocicletas;CWX1 6LT;UK Collectables, Ltd.;F.(171) 555-2282;Berkeley Gardens 12  Brewery;;Liverpool;;Reino Unido;Europa, Oriente Médio e África;Elizabeth;Devon
26;10417;5/13/2005;2005;5;Disputado;Grande;2;2;66;7516.08;100;95;S10_1678;Motocicletas;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
27;10103;1/29/2003;2003;1;Enviado;Médio;1;11;26;5404.62;100;214;S10_1949;Carros Novos;C4110;Baane Mini Imports;F.07-98 9555;Erling Skakkes gate 78;;Stavern;;Noruega;Europa, Oriente Médio e África;Jonas;Bergulfsen
28;10112;3/24/2003;2003;3;Enviado;Grande;1;1;29;7209.11;100;214;S10_1949;Carros Novos;CS-958 22;Volvo Model Replicas, Co;F.0921-12 3555;Berguvsv„gen  8;;Lule;;Suécia;Europa, Oriente Médio e África;Christina;Berglund
29;10126;5/28/2003;2003;5;Enviado;Grande;2;11;38;7329.06;100;214;S10_1949;Carros Novos;C28023;Corrida Auto Replicas, Ltd;F.(91) 555 22 82;C/ Araquil, 67;;Madrid;;Espanha;Europa, Oriente Médio e África;Mart¡n;Sommer
30;10140;7/24/2003;2003;7;Enviado;Grande;3;11;37;7374.1;100;214;S10_1949;Carros Novos;C94217;Technics Stores Inc.;F.6505556809;9408 Furth Circle;;Burlingame;CA;Estados Unidos;América do Norte;Juri;Hirano
31;10150;9/19/2003;2003;9;Enviado;Grande;3;8;45;10993.5;100;214;S10_1949;Carros Novos;C79903;Dragon Souveniers, Ltd.;F.+65 221 7555;Bronz Sok., Bronz Apt. 3/6 Tesvikiye;;Singapore;;Singapura;Japão;Eric;Natividad
32;10163;10/20/2003;2003;10;Enviado;Médio;4;1;21;4860.24;100;214;S10_1949;Carros Novos;C10022;Classic Legends Inc.;F.2125558493;5905 Pompton St.;Suite 750;NYC;NY;Estados Unidos;América do Norte;Maria;Hernandez
33;10174;11/06/2003;2003;11;Enviado;Grande;4;4;34;8014.82;100;214;S10_1949;Carros Novos;C4101;Australian Gift Network, Co;F.61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;Austrália;Ásia-Pacífico;Tony;Calaghan
34;10183;11/13/2003;2003;11;Enviado;Médio;4;8;23;5372.57;100;214;S10_1949;Carros Novos;C71270;Classic Gift Ideas, Inc;F.2155554695;782 First Street;;Philadelphia;PA;Estados Unidos;América do Norte;Francisca;Cervantes
35;10194;11/25/2003;2003;11;Enviado;Grande;4;11;42;7290.36;100;214;S10_1949;Carros Novos;C69004;Saveley & Henriot, Co.;F.78.32.5555;2, rue du Commerce;;Lyon;;França;Europa, Oriente Médio e África;Mary;Saveley
36;10206;12/05/2003;2003;12;Enviado;Grande;4;6;47;9064.89;100;214;S10_1949;Carros Novos;CV3F 2K1;Canadian Gift Exchange Network;F.(604) 555-3392;1900 Oak St.;;Vancouver;BC;Canadá;América do Norte;Yoshi;Tannamuri
37;10215;1/29/2004;2004;1;Enviado;Médio;1;3;35;6075.3;100;214;S10_1949;Carros Novos;C94019;West Coast Collectables Co.;F.3105553722;3675 Furth Circle;;Burbank;CA;Estados Unidos;América do Norte;Steve;Thompson
38;10228;03/10/2004;2004;3;Enviado;Médio;1;2;29;6463.23;100;214;S10_1949;Carros Novos;C51247;Cambridge Collectables Co.;F.6175555555;4658 Baden Av.;;Cambridge;MA;Estados Unidos;América do Norte;Kyung;Tseng
39;10245;05/04/2004;2004;5;Enviado;Médio;2;9;34;6120.34;100;214;S10_1949;Carros Novos;C97823;Super Scale Inc.;F.2035559545;567 North Pendale Street;;New Haven;CT;Estados Unidos;América do Norte;Leslie;Murphy
40;10258;6/15/2004;2004;6;Enviado;Grande;2;6;32;7680.64;100;214;S10_1949;Carros Novos;C106-0032;Tokyo Collectables, Ltd;F.+81 3 3584 0555;2-2-8 Roppongi;;Minato-ku;Tokyo;Japão;Japão;Akiko;Shimamura
41;10270;7/19/2004;2004;7;Enviado;Médio;3;9;21;4905.39;100;214;S10_1949;Carros Novos;C2067;Souveniers And Things Co.;F.+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;Austrália;Ásia-Pacífico;Adrian;Huxley
42;10280;8/17/2004;2004;8;Enviado;Grande;3;2;34;8014.82;100;214;S10_1949;Carros Novos;C10100;Amica Models & Co.;F.011-4988555;Via Monte Bianco 34;;Torino;;Itália;Europa, Oriente Médio e África;Paolo;Accorti
43;10291;09/08/2004;2004;9;Enviado;Grande;3;11;37;7136.19;100;214;S10_1949;Carros Novos;CS-844 67;Scandinavian Gift Ideas;F.0695-34 6555;?kergatan 24;;Boras;;Suécia;Europa, Oriente Médio e África;Maria;Larsson
44;10304;10/11/2004;2004;10;Enviado;Grande;4;6;47;10172.7;100;214;S10_1949;Carros Novos;C78000;Auto Assoc. & Cie.;F.30.59.8555;67, avenue de l'Europe;;Versailles;;França;Europa, Oriente Médio e África;Daniel;Tonini
45;10312;10/21/2004;2004;10;Enviado;Grande;4;3;48;11623.7;100;214;S10_1949;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
46;10322;11/04/2004;2004;11;Enviado;Médio;4;1;40;6000.4;100;214;S10_1949;Carros Novos;C62005;Online Diecast Creations Co.;F.6035558647;2304 Long Airport Avenue;;Nashua;NH;Estados Unidos;América do Norte;Valarie;Young
47;10333;11/18/2004;2004;11;Enviado;Médio;4;3;26;3003;100;214;S10_1949;Carros Novos;;Mini Wheels Co.;F.6505555787;5557 North Pendale Street;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Murphy
48;10347;11/29/2004;2004;11;Enviado;Médio;4;1;30;3944.7;100;214;S10_1949;Carros Novos;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
49;10357;12/10/2004;2004;12;Enviado;Médio;4;10;32;5691.84;100;214;S10_1949;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
50;10369;1/20/2005;2005;1;Enviado;Médio;1;2;41;4514.92;100;214;S10_1949;Carros Novos;C58339;Collectables For Less Inc.;F.6175558555;7825 Douglas Av.;;Brickhaven;MA;Estados Unidos;América do Norte;Allen;Nelson
51;10381;2/17/2005;2005;2;Enviado;Grande;1;3;36;8254.8;100;214;S10_1949;Carros Novos;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
52;10391;03/09/2005;2005;3;Enviado;Pequeno;1;4;24;2416.56;100;214;S10_1949;Carros Novos;C2060;Anna's Decorations, Ltd;F.02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;Austrália;Ásia-Pacífico;Anna;O'Hara
53;10411;05/01/2005;2005;5;Enviado;Médio;2;9;23;4140.23;100;214;S10_1949;Carros Novos;CH1J 1C3;Quebec Home Shopping Network;F.(514) 555-8054;43 rue St. Laurent;;Montreal;Quebec;Canadá;América do Norte;Jean;Fresnisre
54;10424;5/31/2005;2005;5;Processando;Grande;2;6;50;12001;100;214;S10_1949;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
55;10107;2/24/2003;2003;2;Enviado;Médio;1;5;39;3896.49;99.91;118;S10_2016;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
56;10120;4/29/2003;2003;4;Enviado;Pequeno;2;3;29;2793.86;96.34;118;S10_2016;Motocicletas;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
57;10134;07/01/2003;2003;7;Enviado;Médio;3;5;27;3307.77;100;118;S10_2016;Motocicletas;C75508;Lyon Souveniers;F.+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;França;Europa, Oriente Médio e África;Daniel;Da Cunha
58;10145;8/25/2003;2003;8;Enviado;Médio;3;9;37;5192.95;100;118;S10_2016;Motocicletas;C90003;Toys4GrownUps.com;F.6265557265;78934 Hillside Dr.;;Pasadena;CA;Estados Unidos;América do Norte;Julie;Young
59;10159;10/10/2003;2003;10;Enviado;Médio;4;17;37;5016.83;100;118;S10_2016;Motocicletas;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
60;10168;10/28/2003;2003;10;Enviado;Médio;4;4;27;3660.93;100;118;S10_2016;Motocicletas;C94217;Technics Stores Inc.;F.6505556809;9408 Furth Circle;;Burlingame;CA;Estados Unidos;América do Norte;Juri;Hirano
61;10180;11/11/2003;2003;11;Enviado;Médio;4;12;42;4695.6;100;118;S10_2016;Motocicletas;C59000;Daedalus Designs Imports;F.20.16.1555;184, chausse de Tournai;;Lille;;França;Europa, Oriente Médio e África;Martine;Rance
62;10188;11/18/2003;2003;11;Enviado;Médio;4;4;38;3660.92;96.34;118;S10_2016;Motocicletas;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
63;10201;12/01/2003;2003;12;Enviado;Médio;4;5;24;3025.92;100;118;S10_2016;Motocicletas;;Mini Wheels Co.;F.6505555787;5557 North Pendale Street;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Murphy
64;10210;01/12/2004;2004;1;Enviado;Médio;1;2;23;3009.09;100;118;S10_2016;Motocicletas;C530-0003;Osaka Souveniers Co.;F.+81 06 6342 5555;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku;;Osaka;Osaka;Japão;Japão;Mory;Kentary
65;10223;2/20/2004;2004;2;Enviado;Médio;1;4;47;5422.39;100;118;S10_2016;Motocicletas;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
66;10236;04/03/2004;2004;4;Enviado;Pequeno;2;1;22;2852.08;100;118;S10_2016;Motocicletas;C71270;Motor Mint Distributors Inc.;F.2155559857;11328 Douglas Av.;;Philadelphia;PA;Estados Unidos;América do Norte;Rosa;Hernandez
67;10251;5/18/2004;2004;5;Enviado;Médio;2;5;44;5756.52;100;118;S10_2016;Motocicletas;C94019;Tekni Collectables Inc.;F.2015559350;7476 Moss Rd.;;Newark;NJ;Estados Unidos;América do Norte;William;Brown
68;10263;6/28/2004;2004;6;Enviado;Médio;2;5;40;4472;100;118;S10_2016;Motocicletas;C97562;Gift Depot Inc.;F.2035552570;25593 South Bay Ln.;;Bridgewater;CT;Estados Unidos;América do Norte;Julie;King
69;10275;7/23/2004;2004;7;Enviado;Pequeno;3;4;22;2904.44;100;118;S10_2016;Motocicletas;C44000;La Rochelle Gifts;F.40.67.8555;67, rue des Cinquante Otages;;Nantes;;França;Europa, Oriente Médio e África;Janine;Labrune
70;10285;8/27/2004;2004;8;Enviado;Médio;3;9;47;6484.59;100;118;S10_2016;Motocicletas;C51247;Marta's Replicas Co.;F.6175558555;39323 Spinnaker Dr.;;Cambridge;MA;Estados Unidos;América do Norte;Marta;Hernandez
71;10298;9/27/2004;2004;9;Enviado;Médio;3;1;39;3757.26;96.34;118;S10_2016;Motocicletas;C44000;Atelier graphique;F.40.32.2555;54, rue Royale;;Nantes;;França;Europa, Oriente Médio e África;Carine;Schmitt
72;10308;10/15/2004;2004;10;Enviado;Médio;4;2;34;4043.96;100;118;S10_2016;Motocicletas;C24067;Mini Classics;F.9145554562;3758 North Pendale Street;;White Plains;NY;Estados Unidos;América do Norte;Steve;Frick
73;10318;11/02/2004;2004;11;Enviado;Médio;4;4;45;5566.5;100;118;S10_2016;Motocicletas;C70267;Diecast Classics Inc.;F.2155551555;7586 Pompton St.;;Allentown;PA;Estados Unidos;América do Norte;Kyung;Yu
74;10329;11/15/2004;2004;11;Enviado;Médio;4;2;20;3176;100;118;S10_2016;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
75;10339;11/23/2004;2004;11;Enviado;Pequeno;4;4;40;2756.8;68.92;118;S10_2016;Motocicletas;C106-0032;Tokyo Collectables, Ltd;F.+81 3 3584 0555;2-2-8 Roppongi;;Minato-ku;Tokyo;Japão;Japão;Akiko;Shimamura
76;10361;12/17/2004;2004;12;Enviado;Pequeno;4;8;26;1329.9;51.15;118;S10_2016;Motocicletas;C2067;Souveniers And Things Co.;F.+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;Austrália;Ásia-Pacífico;Adrian;Huxley
77;10374;02/02/2005;2005;2;Enviado;Médio;1;5;39;5288.01;100;118;S10_2016;Motocicletas;C4101;Australian Gift Network, Co;F.61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;Austrália;Ásia-Pacífico;Tony;Calaghan
78;10388;03/03/2005;2005;3;Enviado;Pequeno;1;5;50;2225.5;44.51;118;S10_2016;Motocicletas;C50553;FunGiftIdeas.com;F.5085552555;1785 First Street;;New Bedford;MA;Estados Unidos;América do Norte;Violeta;Benitez
79;10402;04/07/2005;2005;4;Enviado;Médio;2;1;45;5833.8;100;118;S10_2016;Motocicletas;C75016;Auto Canal Petit;F.(1) 47.55.6555;25, rue Lauriston;;Paris;;França;Europa, Oriente Médio e África;Dominique;Perrier
80;10417;5/13/2005;2005;5;Disputado;Médio;2;5;45;5887.35;100;118;S10_2016;Motocicletas;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
81;10107;2/24/2003;2003;2;Enviado;Médio;1;4;27;6065.55;100;193;S10_4698;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
82;10120;4/29/2003;2003;4;Enviado;Grande;2;2;46;9264.86;100;193;S10_4698;Motocicletas;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
83;10134;07/01/2003;2003;7;Enviado;Grande;3;4;31;7023.98;100;193;S10_4698;Motocicletas;C75508;Lyon Souveniers;F.+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;França;Europa, Oriente Médio e África;Daniel;Da Cunha
84;10145;8/25/2003;2003;8;Enviado;Médio;3;8;33;5176.38;100;193;S10_4698;Motocicletas;C90003;Toys4GrownUps.com;F.6265557265;78934 Hillside Dr.;;Pasadena;CA;Estados Unidos;América do Norte;Julie;Young
85;10159;10/10/2003;2003;10;Enviado;Médio;4;16;22;4132.7;100;193;S10_4698;Motocicletas;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
86;10168;10/28/2003;2003;10;Enviado;Médio;4;3;20;4183;100;193;S10_4698;Motocicletas;C94217;Technics Stores Inc.;F.6505556809;9408 Furth Circle;;Burlingame;CA;Estados Unidos;América do Norte;Juri;Hirano
87;10180;11/11/2003;2003;11;Enviado;Grande;4;11;41;8892.9;100;193;S10_4698;Motocicletas;C59000;Daedalus Designs Imports;F.20.16.1555;184, chausse de Tournai;;Lille;;França;Europa, Oriente Médio e África;Martine;Rance
88;10188;11/18/2003;2003;11;Enviado;Grande;4;3;45;8714.7;100;193;S10_4698;Motocicletas;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
89;10201;12/01/2003;2003;12;Enviado;Grande;4;4;49;8065.89;100;193;S10_4698;Motocicletas;;Mini Wheels Co.;F.6505555787;5557 North Pendale Street;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Murphy
90;10210;01/12/2004;2004;1;Enviado;Médio;1;1;34;6123.4;100;193;S10_4698;Motocicletas;C530-0003;Osaka Souveniers Co.;F.+81 06 6342 5555;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku;;Osaka;Osaka;Japão;Japão;Mory;Kentary
91;10223;2/20/2004;2004;2;Enviado;Grande;1;3;49;9774.03;100;193;S10_4698;Motocicletas;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
92;10237;04/05/2004;2004;4;Enviado;Grande;2;9;39;7023.9;100;193;S10_4698;Motocicletas;C10022;Vitachrome Inc.;F.2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;Estados Unidos;América do Norte;Michael;Frick
93;10251;5/18/2004;2004;5;Enviado;Grande;2;4;43;7078.23;100;193;S10_4698;Motocicletas;C94019;Tekni Collectables Inc.;F.2015559350;7476 Moss Rd.;;Newark;NJ;Estados Unidos;América do Norte;William;Brown
94;10263;6/28/2004;2004;6;Enviado;Grande;2;4;41;8336.94;100;193;S10_4698;Motocicletas;C97562;Gift Depot Inc.;F.2035552570;25593 South Bay Ln.;;Bridgewater;CT;Estados Unidos;América do Norte;Julie;King
95;10275;7/23/2004;2004;7;Enviado;Médio;3;3;36;6901.92;100;193;S10_4698;Motocicletas;C44000;La Rochelle Gifts;F.40.67.8555;67, rue des Cinquante Otages;;Nantes;;França;Europa, Oriente Médio e África;Janine;Labrune
96;10285;8/27/2004;2004;8;Enviado;Médio;3;8;27;5438.07;100;193;S10_4698;Motocicletas;C51247;Marta's Replicas Co.;F.6175558555;39323 Spinnaker Dr.;;Cambridge;MA;Estados Unidos;América do Norte;Marta;Hernandez
97;10299;9/30/2004;2004;9;Enviado;Médio;3;11;29;6683.34;100;193;S10_4698;Motocicletas;C21240;Toys of Finland, Co.;F.90-224 8555;Keskuskatu 45;;Helsinki;;Finlandia;Europa, Oriente Médio e África;Matti;Karttunen
98;10308;10/15/2004;2004;10;Enviado;Médio;4;1;20;4570.4;100;193;S10_4698;Motocicletas;C24067;Mini Classics;F.9145554562;3758 North Pendale Street;;White Plains;NY;Estados Unidos;América do Norte;Steve;Frick
99;10318;11/02/2004;2004;11;Enviado;Grande;4;3;37;7667.14;100;193;S10_4698;Motocicletas;C70267;Diecast Classics Inc.;F.2155551555;7586 Pompton St.;;Allentown;PA;Estados Unidos;América do Norte;Kyung;Yu
100;10329;11/15/2004;2004;11;Enviado;Médio;4;3;26;5868.2;100;193;S10_4698;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
101;10339;11/23/2004;2004;11;Enviado;Pequeno;4;3;39;2990.13;76.67;193;S10_4698;Motocicletas;C106-0032;Tokyo Collectables, Ltd;F.+81 3 3584 0555;2-2-8 Roppongi;;Minato-ku;Tokyo;Japão;Japão;Akiko;Shimamura
102;10362;01/05/2005;2005;1;Enviado;Médio;1;4;22;3664.1;100;193;S10_4698;Motocicletas;C94217;Technics Stores Inc.;F.6505556809;9408 Furth Circle;;Burlingame;CA;Estados Unidos;América do Norte;Juri;Hirano
103;10374;02/02/2005;2005;2;Enviado;Médio;1;1;22;3834.38;100;193;S10_4698;Motocicletas;C4101;Australian Gift Network, Co;F.61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;Austrália;Ásia-Pacífico;Tony;Calaghan
104;10388;03/03/2005;2005;3;Enviado;Pequeno;1;7;21;1822.17;86.77;193;S10_4698;Motocicletas;C50553;FunGiftIdeas.com;F.5085552555;1785 First Street;;New Bedford;MA;Estados Unidos;América do Norte;Violeta;Benitez
105;10403;04/08/2005;2005;4;Enviado;Grande;2;9;66;11886.6;100;193;S10_4698;Motocicletas;CWX1 6LT;UK Collectables, Ltd.;F.(171) 555-2282;Berkeley Gardens 12  Brewery;;Liverpool;;Reino Unido;Europa, Oriente Médio e África;Elizabeth;Devon
106;10417;5/13/2005;2005;5;Disputado;Grande;2;4;56;9218.16;100;193;S10_4698;Motocicletas;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
